case_id,split,graph_family,graph_seed,n_nodes,perturbation,severity,affected_nodes,recovery_time,final_residual_error,post_recovery_similarity,recovered_label,recovery_quality,affected_betweenness,affected_closeness,affected_degree,affected_eigenvector,affected_pagerank,algebraic_connectivity,domain_diffusion_early_probe,graph_density,graph_n_nodes,haos_causal_depth_proxy,haos_distance_surrogate_proxy,haos_invariant_overlap,haos_persistence_proxy,haos_recovery_score_proxy,haos_temporal_order_stability,shortest_path_to_perturbation
pb01_case_0815d32b04ca7dd1385684c9,development,erdos_renyi,102,24,edge_removal,0.160000,0 1 2 3 4 6 7 8 9 10 11 12 13 16 21 23,0,0.030663795049,0.989622609617,1,0.944247645365,0.375293840726,0.859564853380,0.742934566852,0.715666160304,0.757970556554,0.912124019384,0.969491556494,0.235507246377,24.000000000000,0.750000000000,0.987296264011,1.000000000000,0.683010089417,0.969491556494,1.000000000000,0.400000000000
pb01_case_cb171cf75eeae0ae40c3d039,development,erdos_renyi,102,24,edge_removal,0.280000,0 1 2 3 6 7 8 10 11 13 14 15 17 19 20 21 22 23,0,0.070278902924,0.949405308310,1,0.872220176502,0.341440739246,0.834989884174,0.694724840965,0.648684326199,0.720798011529,0.912124019384,0.942499684627,0.235507246377,24.000000000000,0.800000000000,0.990219251831,1.000000000000,0.199618555467,0.942499684627,0.000000000000,0.391304347826
pb01_case_b6fb786660fa5bfb4fa0c005,development,erdos_renyi,102,24,weight_degradation,0.160000,10 14 15 16 17,0,0.004563195817,0.999770802128,1,0.991703280332,0.474701141219,0.868368794326,0.721594640395,0.605612129685,0.755958842936,0.912124019384,0.983157030313,0.235507246377,24.000000000000,0.489795918367,0.957371271583,1.000000000000,0.995748946447,0.983157030313,1.000000000000,0.416666666667
pb01_case_0f005c402429b159e7de5d77,development,erdos_renyi,102,24,weight_degradation,0.280000,10 14 15 16 17,0,0.008037279116,0.999291147676,1,0.985386765244,0.474701141219,0.868368794326,0.721594640395,0.605612129685,0.755958842936,0.912124019384,0.983019663330,0.235507246377,24.000000000000,0.489795918367,0.957371271583,1.000000000000,0.990905616294,0.983019663330,1.000000000000,0.416666666667
pb01_case_b5b3ac9aca471438747a7e91,development,erdos_renyi,102,24,localized_state_shock,0.160000,3 4 5 10,0,0.000022955333,0.999999994150,1,0.999958263032,0.455436312092,0.858869266759,0.745407603088,0.658601219472,0.769364374910,0.912124019384,0.978493346498,0.235507246377,24.000000000000,0.470588235294,0.955330039166,0.992518674532,1.000000000000,0.978493346498,1.000000000000,0.444444444444
pb01_case_d0e148cc12e6b8b5cbd811bd,development,erdos_renyi,102,24,localized_state_shock,0.280000,1 3 4 14,0,0.000059294221,0.999999961016,1,0.999892192325,0.374421630402,0.847660734223,0.798917624053,0.772491267089,0.809127459653,0.912124019384,0.968031541219,0.235507246377,24.000000000000,0.436363636364,0.948260037989,0.980938857025,1.000000000000,0.968031541219,1.000000000000,0.400000000000
pb01_case_b8e89bb9a927b4cbf07b5d31,development,erdos_renyi,103,24,node_removal,0.160000,16,0,0.053075436127,0.969848227639,1,0.903499207042,0.491439024062,1.000000000000,0.821426446001,0.740308034086,0.856161330718,0.906370710813,0.950089479967,0.231884057971,24.000000000000,0.369230769231,0.934596128388,0.982755814343,0.000000000000,0.950089479967,1.000000000000,0.333333333333
pb01_case_fdf7fc12df5ae5362350883f,development,erdos_renyi,103,24,node_removal,0.280000,11,0,0.020478507980,0.995563375561,1,0.962766349128,0.021183876044,0.719298245614,0.279006346228,0.213184235269,0.377131250235,0.906370710813,0.979523222793,0.231884057971,24.000000000000,0.296296296296,0.910487156062,0.993376546088,0.000000000000,0.979523222793,1.000000000000,0.333333333333
pb01_case_585c3ea7d36cf7136ef863c4,development,erdos_renyi,103,24,edge_removal,0.160000,1 3 4 5 8 10 12 14 15 16 17 18 20 21,0,0.044843828096,0.978086739188,1,0.918465767097,0.432959036821,0.939967581235,0.767987928405,0.690994475185,0.805440496207,0.906370710813,0.961299796348,0.231884057971,24.000000000000,0.705882352941,0.984089364971,1.000000000000,0.721292864587,0.961299796348,0.000000000000,0.358974358974
pb01_case_b6faad3161d13acf69745b42,development,erdos_renyi,103,24,edge_removal,0.280000,1 2 3 4 5 6 7 9 10 11 12 13 14 15 16 19 20 21 22 23,0,0.041112534949,0.981308467663,1,0.925249936456,0.402007424444,0.923053351271,0.728171985014,0.652553343216,0.771008855699,0.906370710813,0.965049893380,0.231884057971,24.000000000000,0.857142857143,0.993746736657,1.000000000000,0.000000000000,0.965049893380,0.000000000000,0.377358490566
pb01_case_49044f279026a0929515d61d,development,erdos_renyi,103,24,weight_degradation,0.160000,0 1 4 5 6 13 19,0,0.007429316355,0.999389901165,1,0.986492152081,0.301990803988,0.912168571631,0.707512935073,0.669021474623,0.739338075094,0.906370710813,0.987579108065,0.231884057971,24.000000000000,0.521739130435,0.965015403334,1.000000000000,0.998676150333,0.987579108065,1.000000000000,0.350000000000
