feature_id,haos_loss_score,max_abs_change,mean_abs_change,trajectory_total_variation
MNN11,1.0945186450387543,1.361,0.6652,2.698
RPL39,1.1626485742092347,1.6789999999999998,0.9401999999999999,2.431
RPS14B,0.9359550492155032,1.613,0.5424,3.129
PRS1,2.064105283051454,2.948,1.4746000000000001,4.861
FAT3,1.0180156707253287,1.4629999999999999,0.7352,5.568
TRM2,2.2422227855461703,3.37,1.4688,6.2379999999999995
GLG1,0.7611872095128399,1.236,0.5347999999999999,3.101
UTP30,1.8693347543945458,2.52,1.2464,4.593
YLL044W,1.7297232324032765,2.915,1.3668,4.948
RFU1,1.4499685082297487,1.8969999999999998,0.9411999999999999,3.733
RPL10,1.3994331201662202,2.221,1.155,3.354
RPS31,1.529984431386333,2.386,1.2714,3.444
YLR169W,0.9804473612521754,1.621,0.8442000000000001,2.26
CBF5,3.0930151160424435,5.315,2.0420000000000003,9.647000000000002
BOP2,0.790451926276564,1.2810000000000001,0.6050000000000001,3.4780000000000006
ADE13,1.1355090794441614,1.6099999999999999,0.7838,2.897
RPS22B,1.2948352556910192,1.7109999999999999,0.9682000000000001,2.683
PDS5,1.0461342540990186,1.459,0.7762,3.289
HAS1,2.3484642766143677,3.295,1.7542000000000002,5.553000000000001
YNL060C,1.8874640952003667,2.8049999999999997,1.414,4.7139999999999995
GCD10,1.8340332009148381,2.6470000000000002,1.258,4.8759999999999994
YGP1,2.2837338668815237,3.3449999999999998,1.8921999999999997,4.555
RPA49,2.987167106065712,4.577,2.0208,8.326
RTC4,1.2975231060974883,1.7069999999999999,0.8026,3.312
FOL1,1.6873645634847865,2.124,1.1644,3.739
RPC34,1.4345267633275955,2.426,0.9898,4.654
NRM1,1.2800529380629189,1.814,0.8806,3.631
TSR4,1.6665538873370247,2.5220000000000002,1.1566,4.616
OPI10,1.75424440649844,2.2039999999999997,1.0872,4.186999999999999
MCH4,0.8155306577242104,1.259,0.6334,4.3549999999999995
RPS19A,1.5639963682061522,2.2279999999999998,1.1692,3.6759999999999993
HRP1,1.6744267410023572,2.791,1.1078,5.105
TRM13,1.5378450517770794,2.465,0.9931999999999999,4.667
RPL25,1.5832264849792124,2.351,1.2289999999999999,3.814
RSB1,0.7972582108422986,1.487,0.6224000000000001,3.69
ETT1,1.3967841056577752,1.9129999999999998,1.1123999999999998,2.747
PNO1,2.5088210067778554,3.523,1.7088,6.224
PUS7,2.6816225400421807,3.899,1.8854,6.744
RPA190,1.4011589626746872,2.6260000000000003,1.1184,7.119000000000001
NOP4,2.8683929691213046,4.287,1.9478000000000002,7.648999999999999
RPL33A,1.5511948509016107,2.253,1.1202,3.8440000000000003
SUI3,1.7715012258154759,2.334,1.3348,3.6509999999999994
YAR1,0.5260702770741288,1.6059999999999999,0.529,4.019
YPR044C,1.1024653573632226,1.738,0.922,2.5069999999999997
TAH18,1.4069391183835918,1.973,0.8988000000000002,3.7970000000000006
YPR142C,1.8522153957391925,2.26,1.3712,3.667
NOC4,2.562854115580195,3.837,1.6698,7.32
FAS1,0.9690476203643089,1.44,0.6712,2.855
VTS1,2.193143780139467,3.075,1.45,5.502000000000001
RPL41B,0.9177517824167184,2.278,0.9488,4.094
MNN10,1.3674504597644899,1.639,0.9533999999999999,2.822
UTP20,1.8960192410692551,2.526,1.3681999999999999,4.295
NUP170,1.1058774270107796,1.334,0.7260000000000001,2.616
RIF1,1.0259341029844415,1.127,0.7202000000000001,2.596
RRP12,3.323145909817743,4.664,2.2255999999999996,8.77
TRM44,1.7406527180280338,2.148,1.2324,3.4640000000000004
YDL239W,0.9817167475243528,1.9089999999999998,0.7791999999999999,4.308
YAL004W,1.5263767957887313,2.379,1.0726,4.493
FUN12,1.4038574324097564,1.819,0.9827999999999999,3.8970000000000002
RPC34,1.7956512077378637,2.71,1.333,4.149
NRM1,1.2363235000761383,1.718,0.8373999999999999,3.184
PRP2,1.1607663993617634,1.924,0.8495999999999999,3.609
YOL024W,0.8625516190553033,2.0198927576601675,0.5778,5.3618927576601685
