partition,condition,admissible,seed,perturbation_family,magnitude,eta,inequality_margin,post_state_error,final_state_error,state_recovery_gain,post_trajectory_error,final_trajectory_error,trajectory_recovery_gain,operator_recovery,identity_sign_agreement,identity_margin_score,node_rank_identity,functional_recovery,final_functional_error,overshoot,corrective_cost,variance_ratio,mean_shift,recovered,recovery_latency,recovery_type
final,parameter_budget_matched,True,6301,localized_block_shock,1.1,0.7,0.05,1.0367381159298927,0.030513023130538167,0.9705682441286826,1.1000000000000003,0.9613313272773774,0.12606242974783902,0.0,0.9322033898305084,0.34480317214177575,0.8912545787545787,-2.3789926937928034,0.959398822541087,0.0,0.8033286643655894,0.0019447459077158223,4.0332320816460765e-17,False,10,wrong-attractor convergence
final,memory_ablation,True,6301,localized_block_shock,1.1,0.7,0.05,1.0367381159298927,1.0367381159298927,0.0,1.1000000000000003,1.1000000000000003,0.0,0.9491525423728814,0.9491525423728814,0.9491525423728814,0.9099358974358973,0.0,0.28393042231298665,0.0,0.0,2.1903793761553176,0.0,False,81,no recovery
final,redundancy_ablation,True,6301,localized_block_shock,1.1,0.7,0.05,1.0367381159298927,0.2557944792012335,0.7532699191137572,1.1000000000000003,0.47532565658454196,0.5678857667413256,0.9194915254237288,0.9491525423728814,0.9374760978177529,0.9560439560439559,0.23005395346532848,0.21861110615080376,0.0,0.32756887956827635,1.3778349256196594,1.3877787807814457e-17,False,81,trajectory-corridor recovery
final,oracle_upper_bound_non_admissible,False,6301,localized_block_shock,1.1,0.7,0.05,1.0367381159298927,0.0,1.0,1.1000000000000003,1.112483931738928e-10,0.9999999998988651,1.0,1.0,1.0,0.9999999999999998,0.9999999998988652,2.8715252826050814e-11,0.0,0.17285714285714285,0.9999999999980157,1.3877787807814457e-17,True,12,exact-state recovery
final,passive_relaxation,True,6301,sparse_node_corruption,0.25,0.7,0.05,0.09270745450195775,0.09270745450195775,0.0,0.25000000000000006,0.25000000000000006,0.0,0.9194915254237288,0.923728813559322,0.9202976790491098,0.9690018315018314,0.0,0.09943518311068508,0.0,0.0,1.0337303191179443,0.0,False,81,passive decay
final,operator_only_filtering,True,6301,sparse_node_corruption,0.25,0.7,0.05,0.09270745450195775,0.029406515353241666,0.6828031196496644,0.25000000000000006,0.9621387962038838,-2.848555184815534,0.0,0.9322033898305084,0.3191978555127006,0.9581043956043954,-8.657241734785655,0.9602696002425618,0.0,0.12057933448050828,0.0016048650713250837,1.734723475976807e-17,False,1,wrong-attractor convergence
final,topology_altered,True,6301,sparse_node_corruption,0.25,0.7,0.05,0.09270745450195775,0.11603987561591601,-0.2516779393772002,0.25000000000000006,0.9905038598864085,-2.9620154395456333,0.03389830508474578,0.4745762711864407,0.1359901357907222,-0.16153846153846152,-8.901341419218957,0.9845416970614476,1.3366403356884335,0.22435494546324414,0.011356339364612467,2.0816681711721685e-17,False,81,unstable correction
final,trivial_attractor,True,6301,sparse_node_corruption,0.25,0.7,0.05,0.09270745450195775,0.04999653598373682,0.4607064097237076,0.25000000000000006,0.9999943299956093,-2.999977319982437,0.0,0.923728813559322,4.4662798371582075e-05,0.9690018315018314,-9.056745775720076,0.9999943577063345,0.0,0.07780765842565737,3.4210502488450684e-11,1.0587911840678754e-22,False,81,wrong-attractor convergence
final,identity_scrambled,True,6301,sparse_node_corruption,0.25,0.7,0.05,0.09270745450195775,0.14419008483283252,-0.5553235239544582,0.25000000000000006,0.9197764449194574,-2.6791057796778293,0.30508474576271183,0.6567796610169492,0.38334444840008314,0.5835164835164834,-8.151855871159656,0.9100164643513587,0.555323523954458,0.06885946526319166,0.03575553434307898,1.734723475976807e-17,False,81,unstable correction
final,signal_blind,True,6301,sparse_node_corruption,0.25,0.7,0.05,0.09270745450195775,0.2128172851550409,-1.2955789941416926,0.25000000000000006,0.44049469212720477,-0.7619787685088186,0.788135593220339,0.7966101694915254,0.7874966725464231,0.9061355311355311,-0.6720930202787749,0.16626487564951845,1.2955789941416924,0.1366661972300698,1.285719971328214,1.1102230246251565e-16,False,81,unstable correction
final,parameter_budget_matched,True,6301,sparse_node_corruption,0.25,0.7,0.05,0.09270745450195775,0.029406515353241666,0.6828031196496644,0.25000000000000006,0.9621387962038838,-2.848555184815534,0.0,0.9322033898305084,0.3191978555127006,0.9581043956043954,-8.657241734785655,0.9602696002425618,0.0,0.12057933448050828,0.0016048650713250837,1.734723475976807e-17,False,1,wrong-attractor convergence
final,memory_ablation,True,6301,sparse_node_corruption,0.25,0.7,0.05,0.09270745450195775,0.09270745450195775,0.0,0.25000000000000006,0.25000000000000006,0.0,0.9194915254237288,0.923728813559322,0.9202976790491098,0.9690018315018314,0.0,0.09943518311068508,0.0,0.0,1.0337303191179443,0.0,False,81,no recovery
final,redundancy_ablation,True,6301,sparse_node_corruption,0.25,0.7,0.05,0.09270745450195775,0.06373367802439925,0.3125290909259799,0.25000000000000006,0.22792219356340415,0.0883112257463836,0.923728813559322,0.9533898305084746,0.9378935205176927,0.9765109890109889,0.044822018068339776,0.09497829753666928,0.0,0.0011792278385915462,1.0313118122235456,1.3877787807814457e-17,False,81,trajectory-corridor recovery
final,oracle_upper_bound_non_admissible,False,6301,sparse_node_corruption,0.25,0.7,0.05,0.09270745450195775,0.0,1.0,0.25000000000000006,2.5283707998249938e-11,0.9999999998988651,1.0,1.0,1.0,0.9999999999999998,0.9999999998988658,1.0056306033833028e-11,0.0,0.00892857142857143,0.9999999999970904,5.551115123125783e-17,True,4,exact-state recovery
final,passive_relaxation,True,6301,sparse_node_corruption,0.5,0.7,0.05,0.2807446298428867,0.2807446298428867,0.0,0.5,0.5,0.0,0.8728813559322034,0.8728813559322034,0.8728813559322034,0.9009157509157508,0.0,0.19887036622137022,0.0,0.0,1.1924606382358884,0.0,False,81,passive decay
final,operator_only_filtering,True,6301,sparse_node_corruption,0.5,0.7,0.05,0.2807446298428867,0.029792987527950218,0.8938786913052502,0.5,0.9623007249977289,-0.9246014499954578,0.0,0.9322033898305084,0.3204057244215058,0.9357142857142856,-3.8292537622787925,0.9603954642803134,0.0,0.2259530873368277,0.0016601033607352214,1.9081958235744878e-17,False,3,wrong-attractor convergence
final,topology_altered,True,6301,sparse_node_corruption,0.5,0.7,0.05,0.2807446298428867,0.07795297185746392,0.722334949376988,0.5,1.0107381661293442,-1.0214763322586884,0.0805084745762712,0.4745762711864407,0.1736249004108102,-0.15549450549450547,-4.075534336017166,1.009373372172873,0.0,0.3194335570005755,0.001757513942547834,1.8865117801247777e-17,False,81,wrong-attractor convergence
final,trivial_attractor,True,6301,sparse_node_corruption,0.5,0.7,0.05,0.2807446298428867,0.04999652068130315,0.821914596516832,0.5,0.9999944127512065,-0.999988825502413,0.0,0.8728813559322034,4.9778686375207596e-05,0.9009157509157508,-4.028373443320249,0.9999944681709104,0.0,0.08975510179973088,3.946355918684615e-11,0.0,False,81,wrong-attractor convergence
final,identity_scrambled,True,6301,sparse_node_corruption,0.5,0.7,0.05,0.2807446298428867,0.05708534937498357,0.7966645010915069,0.5,0.9970403449672608,-0.9940806899345216,0.05084745762711862,0.559322033898305,0.1578407774518967,0.09487179487179485,-4.020700122823227,0.9984684721135335,0.0,0.09603464205936174,0.0005747415080404565,1.8648277366750676e-17,False,81,wrong-attractor convergence
final,signal_blind,True,6301,sparse_node_corruption,0.5,0.7,0.05,0.2807446298428867,2.4181108970664074,-7.613204457088481,0.5,3.0238513121753035,-5.047702624350607,0.6059322033898304,0.6059322033898306,0.6055230579802797,0.3220238095238095,-2.2649678342704704,0.6493053489023625,7.6132044570884805,9.839398204911394,10.369420326211033,8.326672684688674e-17,False,81,unstable correction
final,parameter_budget_matched,True,6301,sparse_node_corruption,0.5,0.7,0.05,0.2807446298428867,0.029792987527950218,0.8938786913052502,0.5,0.9623007249977289,-0.9246014499954578,0.0,0.9322033898305084,0.3204057244215058,0.9357142857142856,-3.8292537622787925,0.9603954642803134,0.0,0.2259530873368277,0.0016601033607352214,1.9081958235744878e-17,False,3,wrong-attractor convergence
