sample,sample_role,model_family,data_kind,k_index,k_reduced,conduction_energy_ev,valence_energy_ev,reference_conduction_energy_ev,reference_valence_energy_ev,conduction_error_ev,valence_error_ev,band_gap_ev,gap_relative_error,conduction_edge_k,valence_edge_k,direct_gap_score,curvature_score,band_shape_score,gap_score,band_order_score,symmetry_score,semiconductor_reference_score,status
toy_direct_gap_reference,reference,declared_two_band_reference,band_point,58,0.45,1.00491145678,-0.903683592586,1.00491145678,-0.903683592586,0,0,,,,,,,,,,,,BAND_POINT_RECORDED
toy_direct_gap_reference,reference,declared_two_band_reference,band_point,59,0.475,1.04233963405,-0.931754725538,1.04233963405,-0.931754725538,0,0,,,,,,,,,,,,BAND_POINT_RECORDED
toy_direct_gap_reference,reference,declared_two_band_reference,band_point,60,0.5,1.08,-0.96,1.08,-0.96,0,0,,,,,,,,,,,,BAND_POINT_RECORDED
toy_direct_gap_reference,reference,declared_two_band_reference,band_point,61,0.525,1.11766036595,-0.988245274462,1.11766036595,-0.988245274462,0,0,,,,,,,,,,,,BAND_POINT_RECORDED
toy_direct_gap_reference,reference,declared_two_band_reference,band_point,62,0.55,1.15508854322,-1.01631640741,1.15508854322,-1.01631640741,0,0,,,,,,,,,,,,BAND_POINT_RECORDED
toy_direct_gap_reference,reference,declared_two_band_reference,band_point,63,0.575,1.19205377465,-1.04404033099,1.19205377465,-1.04404033099,0,0,,,,,,,,,,,,BAND_POINT_RECORDED
toy_direct_gap_reference,reference,declared_two_band_reference,band_point,64,0.6,1.2283281573,-1.07124611797,1.2283281573,-1.07124611797,0,0,,,,,,,,,,,,BAND_POINT_RECORDED
toy_direct_gap_reference,reference,declared_two_band_reference,band_point,65,0.625,1.26368804754,-1.09776603565,1.26368804754,-1.09776603565,0,0,,,,,,,,,,,,BAND_POINT_RECORDED
toy_direct_gap_reference,reference,declared_two_band_reference,band_point,66,0.65,1.29791543987,-1.12343657991,1.29791543987,-1.12343657991,0,0,,,,,,,,,,,,BAND_POINT_RECORDED
toy_direct_gap_reference,reference,declared_two_band_reference,band_point,67,0.675,1.33079931106,-1.1480994833,1.33079931106,-1.1480994833,0,0,,,,,,,,,,,,BAND_POINT_RECORDED
toy_direct_gap_reference,reference,declared_two_band_reference,band_point,68,0.7,1.3621369211,-1.17160269083,1.3621369211,-1.17160269083,0,0,,,,,,,,,,,,BAND_POINT_RECORDED
toy_direct_gap_reference,reference,declared_two_band_reference,band_point,69,0.725,1.3917350632,-1.1938012974,1.3917350632,-1.1938012974,0,0,,,,,,,,,,,,BAND_POINT_RECORDED
toy_direct_gap_reference,reference,declared_two_band_reference,band_point,70,0.75,1.41941125497,-1.21455844123,1.41941125497,-1.21455844123,0,0,,,,,,,,,,,,BAND_POINT_RECORDED
toy_direct_gap_reference,reference,declared_two_band_reference,band_point,71,0.775,1.44499486349,-1.23374614762,1.44499486349,-1.23374614762,0,0,,,,,,,,,,,,BAND_POINT_RECORDED
toy_direct_gap_reference,reference,declared_two_band_reference,band_point,72,0.8,1.4683281573,-1.25124611797,1.4683281573,-1.25124611797,0,0,,,,,,,,,,,,BAND_POINT_RECORDED
