run_id,geometry_id,phase_id,resolution,graph_type,packet_count,initial_peak_count,collision_label,persistence_label,composite_lifetime,binding_persistence,corridor_dwell,coarse_basin_persistence,minimum_separation,final_mean_separation,post_collision_separation_trend,encounter_dwell_time,deflection_angle_proxy,reflection_fraction,grade_transfer_amplitude,omega0_weight_initial,omega1_weight_initial,omega2_weight_initial,omega0_weight_final,omega1_weight_final,omega2_weight_final,localized_circulation_proxy,new_collision_class,gate_met,promoted_followup,notes,run_order,family_id,family_label,motif_protection_strength,degree_skew,grade_coupling_amplitude,delta,right_address,topology_class,topology_stability_index,flow_concentration_index,address_selectivity_index,grade_exchange_asymmetry,local_channel_count,recirculation_score,boundary_sharpness_metric,adjacent_class_variance,phase_alignment_metric,address_sorting_score,topology_survival_time,transfer_asymmetry,structural_edge_delta,notes
C013_degree_mild_d0p72,tight_clustered_pair,delta_0.720,12,regular_lattice,2,1,transfer_smeared,weak persistence gain,1.1275790516303659,1.0,0.0,0.0,0.08333333333333326,0.08333333333333326,0.0,1.1275790516303659,0.0,0.0,0.17426507536177444,0.3333939095151982,0.6666060904848018,0.0,0.32802447860176126,0.5461545596361702,0.1258209617620685,0.0,0,0,0,Mild degree-skew refinement family.,23,degree_mild,Degree mild,baseline,mild,beta0,0.72,1.44,transfer_smeared,0.5555555555555556,0.9080830954857994,0.8263049609028655,0.21813008103440895,1,0.0,0.5586783370203716,0.0,0.997466347807,0.4602696525230295,0.0,0.2847931630500437,4,Mild degree-skew refinement family.
C013_degree_mild_d0p75,tight_clustered_pair,delta_0.750,12,regular_lattice,2,1,transfer_smeared,weak persistence gain,1.1275790516303659,1.0,0.0,0.0,0.08333333333333326,0.08333333333333326,0.0,1.1275790516303659,0.0,0.0,0.17516773450858952,0.3333939095151982,0.6666060904848018,0.0,0.32728390877406704,0.5459118745966638,0.12680421662926913,0.0,0,0,0,Mild degree-skew refinement family.,24,degree_mild,Degree mild,baseline,mild,beta0,0.75,1.5,transfer_smeared,0.5555555555555556,0.9084168061474778,0.8180164735359089,0.21862796582259675,1,0.0,0.5466075507408218,0.0,0.9973493602833576,0.4661816557053324,0.0,0.2832848178489011,4,Mild degree-skew refinement family.
C013_degree_mild_d0p78,tight_clustered_pair,delta_0.780,12,regular_lattice,2,1,transfer_smeared,weak persistence gain,1.1275790516303659,1.0,0.0,0.0,0.08333333333333326,0.08333333333333326,0.0,1.1275790516303659,0.0,0.0,0.17613893270836947,0.3333939095151982,0.6666060904848018,0.0,0.32651566726190195,0.5456387039623302,0.1278456287757678,0.0,0,0,0,Mild degree-skew refinement family.,25,degree_mild,Degree mild,baseline,mild,beta0,0.78,1.56,transfer_smeared,0.5555555555555556,0.9087251962662595,0.8099067343806409,0.2191230367004282,1,0.0,0.5347935739551348,0.0,0.9972350777676005,0.4719631510573368,0.0,0.2817821281077851,4,Mild degree-skew refinement family.
C013_degree_mild_d0p81,tight_clustered_pair,delta_0.810,12,regular_lattice,2,1,transfer_smeared,weak persistence gain,1.1275790516303659,1.0,0.0,0.0,0.08333333333333326,0.08333333333333326,0.0,1.1275790516303659,0.0,0.0,0.17717440242972005,0.3333939095151982,0.6666060904848018,0.0,0.3257225071952694,0.5453368491844519,0.1289406436202786,0.0,0,0,0,Mild degree-skew refinement family.,26,degree_mild,Degree mild,baseline,mild,beta0,0.81,1.62,transfer_smeared,0.5555555555555556,0.9090093657043296,0.8019726663172548,0.2196143419891825,1,0.0,0.5232558349414463,0.0,0.9971235502975788,0.4776257384867637,0.0,0.2802813262116989,4,Mild degree-skew refinement family.
C013_degree_mild_d0p84,tight_clustered_pair,delta_0.840,12,regular_lattice,2,1,transfer_smeared,weak persistence gain,1.1275790516303659,1.0,0.0,0.0,0.08333333333333326,0.08333333333333326,0.0,1.1275790516303659,0.0,0.0,0.17826989445636632,0.3333939095151982,0.6666060904848018,0.0,0.3249070288929091,0.5450081334828235,0.1300848376242675,0.0,0,0,0,Mild degree-skew refinement family.,27,degree_mild,Degree mild,baseline,mild,beta0,0.84,1.68,transfer_smeared,0.5555555555555556,0.9092603825604777,0.7942090593323975,0.2201011045899144,1,0.0,0.2587868994952454,0.0,0.9970148262751487,0.48317343667953655,0.0,0.2787837762443623,4,Mild degree-skew refinement family.
C013_degree_asymmetric_d0p66,tight_clustered_pair,delta_0.660,12,regular_lattice,2,1,transfer_smeared,weak persistence gain,1.1275790516303659,1.0,0.0,0.0,0.08333333333333326,0.08333333333333326,0.0,1.1275790516303659,0.0,0.0,0.17395033932075274,0.3333939095151982,0.6666060904848018,0.0,0.3330239064850738,0.5437900448570824,0.1231860486578438,0.0,0,0,0,Stronger asymmetric degree-skew refinement family.,28,degree_asymmetric,Degree asymmetric,baseline,asymmetric,beta0,0.66,1.32,transfer_smeared,0.5555555555555556,0.9070323623314828,0.8371276055091847,0.21076613837200858,1,0.0,0.30366168895607404,0.0,0.9977912301416317,0.4257704040387925,0.0,0.2854764687527379,8,Stronger asymmetric degree-skew refinement family.
C013_degree_asymmetric_d0p69,tight_clustered_pair,delta_0.690,12,regular_lattice,2,1,transfer_smeared,weak persistence gain,1.1275790516303659,1.0,0.0,0.0,0.08333333333333326,0.08333333333333326,0.0,1.1275790516303659,0.0,0.0,0.17475017080992203,0.3333939095151982,0.6666060904848018,0.0,0.332499762841216,0.5434885593618485,0.12401167779693553,0.0,0,0,0,Stronger asymmetric degree-skew refinement family.,29,degree_asymmetric,Degree asymmetric,baseline,asymmetric,beta0,0.69,1.38,transfer_smeared,0.5555555555555556,0.9074260698081791,0.8280177548405026,0.21098879652063246,1,0.0,0.60070166868963,0.0,0.9976634945807709,0.43189048145511433,0.0,0.2838080169784283,8,Stronger asymmetric degree-skew refinement family.
C013_degree_asymmetric_d0p72,tight_clustered_pair,delta_0.720,12,regular_lattice,2,1,transfer_smeared,weak persistence gain,1.1275790516303659,1.0,0.0,0.0,0.08333333333333326,0.08333333333333326,0.0,1.1275790516303659,0.0,0.0,0.1756274479374466,0.3333939095151982,0.6666060904848018,0.0,0.3319388057802341,0.5431526766636944,0.1249085175560715,0.0,0,0,0,Stronger asymmetric degree-skew refinement family.,30,degree_asymmetric,Degree asymmetric,baseline,asymmetric,beta0,0.72,1.44,transfer_smeared,0.5555555555555556,0.907767361890388,0.8191065554484959,0.21121387088346028,1,0.0,0.5876797052667189,0.0,0.9975382572435046,0.4379017259699024,0.0,0.28212873988151005,8,Stronger asymmetric degree-skew refinement family.
C013_degree_asymmetric_d0p75,tight_clustered_pair,delta_0.750,12,regular_lattice,2,1,transfer_smeared,weak persistence gain,1.1275790516303659,1.0,0.0,0.0,0.08333333333333326,0.08333333333333326,0.0,1.1275790516303659,0.0,0.0,0.17657762871801655,0.3333939095151982,0.6666060904848018,0.0,0.33134405756306473,0.5427843983165648,0.12587154412037052,0.0,0,0,0,Stronger asymmetric degree-skew refinement family.,31,degree_asymmetric,Degree asymmetric,baseline,asymmetric,beta0,0.75,1.5,transfer_smeared,0.5555555555555556,0.9080843161019266,0.810387363682501,0.21144034075350004,1,0.0,0.5749891867777963,0.0,0.9974155743335686,0.4438029334686691,0.0,0.28045288911974403,8,Stronger asymmetric degree-skew refinement family.
C013_degree_asymmetric_d0p78,tight_clustered_pair,delta_0.780,12,regular_lattice,2,1,transfer_smeared,weak persistence gain,1.1275790516303659,1.0,0.0,0.0,0.08333333333333326,0.08333333333333326,0.0,1.1275790516303659,0.0,0.0,0.17759615400009676,0.3333939095151982,0.6666060904848018,0.0,0.33071842616323616,0.5423857647201039,0.12689580911665993,0.0,0,0,0,Stronger asymmetric degree-skew refinement family.,32,degree_asymmetric,Degree asymmetric,baseline,asymmetric,beta0,0.78,1.56,transfer_smeared,0.5555555555555556,0.9083760734884563,0.801856879845162,0.21166733855686776,1,0.0,0.5624658210651237,0.0,0.9972955005664148,0.44960244401433896,0.0,0.27878331721134286,8,Stronger asymmetric degree-skew refinement family.
