component,control_family,is_focus_control,target_count,target_missing,target_mean,target_variance,target_values,target_control_count,target_control_missing,target_control_mean,target_control_variance,target_control_values,control_control_count,control_control_missing,control_control_mean,control_control_variance,control_control_values,effect_size_cohen_d_control_minus_target,overlap_coefficient_histogram_20_bin,rank_order_by_mean_distance,target_outperforms_target_control,notes
d_spec,shuffled_structure_control,True,3,0,0.4345174733573122,0.0011504379593388148,"[0.47727968175725527, 0.39431611175798237, 0.431956626556699]",6,0,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",3,0,0.4345174733573122,0.0011504379593388148,"[0.47727968175725527, 0.39431611175798237, 0.431956626556699]",-18.11718177803829,0.0,target_control < control_control < target_target,False,positive effect means target-target distances are smaller than target-control distances
d_causal,degraded_signal_control,False,3,0,0.0,0.0,"[0.0, 0.0, 0.0]",6,0,0.16907854147647994,1.8234064919469915e-08,"[0.16924251794059517, 0.16924251794059517, 0.1690813169559468, 0.1690813169559468, 0.16891178953289784, 0.16891178953289784]",3,0,0.0,0.0,"[0.0, 0.0, 0.0]",1770.7683146271602,0.0,control_control < target_target < target_control,True,positive effect means target-target distances are smaller than target-control distances
d_causal,generic_graph_operator_control,False,3,0,0.0,0.0,"[0.0, 0.0, 0.0]",6,0,0.1875,0.0,"[0.1875, 0.1875, 0.1875, 0.1875, 0.1875, 0.1875]",3,0,0.0,0.0,"[0.0, 0.0, 0.0]",inf,0.0,control_control < target_target < target_control,True,positive effect means target-target distances are smaller than target-control distances
d_causal,label_permutation_control,False,3,0,0.0,0.0,"[0.0, 0.0, 0.0]",6,0,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",3,0,0.0,0.0,"[0.0, 0.0, 0.0]",0.0,1.0,control_control < target_control < target_target,False,positive effect means target-target distances are smaller than target-control distances
d_causal,parameter_matched_null_control,False,3,0,0.0,0.0,"[0.0, 0.0, 0.0]",6,0,0.37051173581624997,6.42724130592686e-09,"[0.37060865478912497, 0.37060865478912497, 0.37051422627075, 0.37051422627075, 0.370412326388875, 0.370412326388875]",3,0,0.0,0.0,"[0.0, 0.0, 0.0]",6535.888937396673,0.0,control_control < target_target < target_control,True,positive effect means target-target distances are smaller than target-control distances
d_causal,periodic_diagonal_augmented_control,True,3,0,0.0,0.0,"[0.0, 0.0, 0.0]",6,0,0.12016696874584237,0.003656297439231014,"[0.17977763590786575, 0.17977763590786575, 0.14345939810471708, 0.14345939810471708, 0.037263872224944296, 0.037263872224944296]",3,0,0.0,0.0,"[0.0, 0.0, 0.0]",2.81047252987032,0.3333333333333333,control_control < target_target < target_control,True,positive effect means target-target distances are smaller than target-control distances
d_causal,randomized_edge_control,True,3,0,0.0,0.0,"[0.0, 0.0, 0.0]",6,0,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",3,0,0.0,0.0,"[0.0, 0.0, 0.0]",0.0,1.0,control_control < target_control < target_target,False,positive effect means target-target distances are smaller than target-control distances
d_causal,shuffled_structure_control,True,3,0,0.0,0.0,"[0.0, 0.0, 0.0]",6,0,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",3,0,0.0,0.0,"[0.0, 0.0, 0.0]",0.0,1.0,control_control < target_control < target_target,False,positive effect means target-target distances are smaller than target-control distances
d_time,degraded_signal_control,False,3,0,0.16439910430839003,9.519674944011214e-05,"[0.17819353741496596, 0.1577853231292517, 0.1572184523809524]",6,0,0.2857142857142857,0.0,"[0.2857142857142857, 0.2857142857142857, 0.2857142857142857, 0.2857142857142857, 0.2857142857142857, 0.2857142857142857]",3,0,0.16439910430839003,9.519674944011214e-05,"[0.17819353741496596, 0.1577853231292517, 0.1572184523809524]",17.584057293322026,0.0,control_control < target_target < target_control,True,positive effect means target-target distances are smaller than target-control distances
d_time,generic_graph_operator_control,False,3,0,0.16439910430839003,9.519674944011214e-05,"[0.17819353741496596, 0.1577853231292517, 0.1572184523809524]",6,0,0.36666666666666664,0.0,"[0.36666666666666664, 0.36666666666666664, 0.36666666666666664, 0.36666666666666664, 0.36666666666666664, 0.36666666666666664]",3,0,0.09297053287981859,9.519674944011228e-05,"[0.10676496598639454, 0.08635675170068026, 0.08578988095238095]",29.317719051077265,0.0,control_control < target_target < target_control,True,positive effect means target-target distances are smaller than target-control distances
d_time,label_permutation_control,False,3,0,0.16439910430839003,9.519674944011214e-05,"[0.17819353741496596, 0.1577853231292517, 0.1572184523809524]",6,0,0.38461538461538464,0.0,"[0.38461538461538464, 0.38461538461538464, 0.38461538461538464, 0.38461538461538464, 0.38461538461538464, 0.38461538461538464]",3,0,0.16439910430839003,9.519674944011214e-05,"[0.17819353741496596, 0.1577853231292517, 0.1572184523809524]",31.91930016478771,0.0,control_control < target_target < target_control,True,positive effect means target-target distances are smaller than target-control distances
d_time,parameter_matched_null_control,False,3,0,0.16439910430839003,9.519674944011214e-05,"[0.17819353741496596, 0.1577853231292517, 0.1572184523809524]",6,0,0.34722222222222215,0.0,"[0.3472222222222222, 0.3472222222222222, 0.3472222222222222, 0.3472222222222222, 0.3472222222222222, 0.3472222222222222]",3,0,0.09297053287981859,9.519674944011228e-05,"[0.10676496598639454, 0.08635675170068026, 0.08578988095238095]",26.499339511224285,0.0,control_control < target_target < target_control,True,positive effect means target-target distances are smaller than target-control distances
d_time,periodic_diagonal_augmented_control,True,3,0,0.16439910430839003,9.519674944011214e-05,"[0.17819353741496596, 0.1577853231292517, 0.1572184523809524]",6,0,0.046768707482993194,0.0031905636996200455,"[0.018140561224489794, 0.17063491496598637, 0.03760396258503401, 0.009637193877551012, 0.034958418367346936, 0.009637193877551012]",3,0,0.18020912698412697,0.00022901300357149252,"[0.173091462585034, 0.201247193877551, 0.16628872448979592]",-2.9021283192767457,0.16666666666666666,target_control < target_target < control_control,False,positive effect means target-target distances are smaller than target-control distances
d_time,randomized_edge_control,True,3,0,0.16439910430839003,9.519674944011214e-05,"[0.17819353741496596, 0.1577853231292517, 0.1572184523809524]",6,0,0.19444444444444442,0.0008345930964978584,"[0.21428571428571427, 0.16666666666666666, 0.23809523809523808, 0.16666666666666666, 0.21428571428571427, 0.16666666666666666]",3,0,0.09297053287981859,9.519674944011228e-05,"[0.10676496598639454, 0.08635675170068026, 0.08578988095238095]",1.3934767380778814,0.5,control_control < target_target < target_control,True,positive effect means target-target distances are smaller than target-control distances
d_time,shuffled_structure_control,True,3,0,0.16439910430839003,9.519674944011214e-05,"[0.17819353741496596, 0.1577853231292517, 0.1572184523809524]",6,0,0.21031746031746032,7.873519778281683e-05,"[0.21428571428571427, 0.21428571428571427, 0.19047619047619047, 0.21428571428571427, 0.21428571428571427, 0.21428571428571427]",3,0,0.09297053287981859,9.519674944011228e-05,"[0.10676496598639454, 0.08635675170068026, 0.08578988095238095]",4.923927493319892,0.16666666666666666,control_control < target_target < target_control,True,positive effect means target-target distances are smaller than target-control distances
d_addr,degraded_signal_control,False,3,0,0.0,0.0,"[0.0, 0.0, 0.0]",6,0,0.4166666666666667,0.0,"[0.41666666666666663, 0.41666666666666663, 0.41666666666666663, 0.41666666666666663, 0.41666666666666663, 0.41666666666666663]",3,0,0.25,0.0,"[0.25, 0.25, 0.25]",inf,0.0,target_target < control_control < target_control,True,positive effect means target-target distances are smaller than target-control distances
