partition,condition,admissible,seed,perturbation_family,magnitude,eta,inequality_margin,post_state_error,final_state_error,state_recovery_gain,post_trajectory_error,final_trajectory_error,trajectory_recovery_gain,operator_recovery,identity_sign_agreement,identity_margin_score,node_rank_identity,functional_recovery,final_functional_error,overshoot,corrective_cost,variance_ratio,mean_shift
calibration,target,True,6103,relational_twist,0.2,0.7,0.05,0.06938077132996616,2.2378316821673336e-05,0.9996774564999394,0.20000000000000004,0.1588815309898696,0.2055923450506522,0.9330543933054394,1.0,0.9709425055994485,0.9861263736263735,0.0,0.00786005080480583,0.0,0.0008747059860471434,1.0351448667884735,4.163336342344337e-17
calibration,target,True,6103,relational_twist,0.45,0.7,0.05,0.23825555265285023,0.0005383191280303992,0.9977405809768691,0.45000000000000007,0.2726076973662614,0.3942051169638637,0.8870292887029289,1.0,0.952469838863015,0.9723443223443222,0.0,0.03638933075585201,0.0,0.010012233665162762,1.146193422019714,0.0
calibration,target,True,6103,relational_twist,0.7,0.7,0.05,0.4542691395757294,0.000594751184041103,0.9986907515122058,0.7,0.3431431114659092,0.5097955550487011,0.8744769874476988,1.0,0.9462971000389199,0.9662087912087911,0.0,0.08502792323931355,0.0,0.03623964148570416,1.2981534816494555,8.326672684688674e-17
calibration,target,True,6104,localized_block_shock,0.2,0.7,0.05,0.05953385361723435,8.49637247598566e-05,0.9985728502423827,0.20000000000000004,0.16909345227902595,0.15453273860487043,0.9829787234042553,1.0,0.9934877752769585,0.9945512820512821,-0.2831143146052367,0.039481445361899986,0.0,0.0006355528484044764,1.0654957108977152,0.0
calibration,target,True,6104,localized_block_shock,0.45,0.7,0.05,0.1807684933072602,0.0007729315548901688,0.995724190976265,0.45,0.3601514151692974,0.19966352184600583,0.9744680851063829,1.0,0.9892259607683378,0.9858058608058609,-0.5240695205773663,0.10551519092558913,0.0,0.006321640544414464,1.2313204720307522,5.551115123125783e-17
calibration,target,True,6104,localized_block_shock,0.7,0.7,0.05,0.3406838211830085,0.0019740994371479034,0.9942054793494657,0.7,0.5469433593973055,0.21865234371813488,0.9702127659574468,1.0,0.9853858634444679,0.977701465201465,-0.6175291543923221,0.17419988126719677,0.0,0.02010631835820147,1.4841267242862899,0.0
calibration,target,True,6104,sparse_node_corruption,0.2,0.7,0.05,0.08259362427577618,2.7704714731289745e-07,0.9999966456593988,0.2,0.14882485213704297,0.2558757393147852,0.9659574468085106,1.0,0.9868153805524026,0.9884615384615383,-0.028930335707679004,0.06678517037358994,0.0,0.0013556831518549393,1.0534132186554062,5.551115123125783e-17
calibration,target,True,6104,sparse_node_corruption,0.45,0.7,0.05,0.2828995087825305,0.00046337210120556095,0.998362061131885,0.45,0.27558704232615766,0.38758435038631633,0.9531914893617022,1.0,0.9797626525331669,0.9754120879120878,-0.05975444303121342,0.1547682353174016,0.0,0.01580780915141644,1.1817900252815334,0.0
calibration,target,True,6104,sparse_node_corruption,0.7,0.7,0.05,0.506933387452472,0.0025893128449480055,0.9948922029816181,0.7,0.39046563956012664,0.4421919434855333,0.9276595744680851,1.0,0.9649172869246642,0.9553571428571427,-0.09123867825025654,0.24790304533372,0.0,0.04218610209525108,1.3559950005569839,1.1102230246251565e-16
calibration,target,True,6104,relational_twist,0.2,0.7,0.05,0.06148324299839877,6.674158945892696e-05,0.99891447512844,0.2,0.1494162463989483,0.2529187680052586,0.9191489361702128,1.0,0.9648927498212353,0.9898351648351646,0.0,0.006059234002582148,0.0,0.0006782589104132799,1.0367534913670469,0.0
calibration,target,True,6104,relational_twist,0.45,0.7,0.05,0.24056158939024075,0.00018833865931803528,0.9992170875666584,0.44999999999999996,0.23272156403379665,0.4828409688137852,0.8851063829787233,1.0,0.9512149050819686,0.9825091575091573,0.0,0.025128497488155745,0.0,0.010248472534118537,1.1367503116197077,0.0
