event_id,seed,signal_to_noise,sample,sample_role,control_type,specificity_score,base_strain_proxy_score,ridge_coherence_score,phase_continuity_score,ridge_monotonicity,ridge_slope_hz,ridge_concentration,ridge_smoothness,phase_valid_fraction,phase_frequency_correlation,phase_smoothness,phase_range_hz
surrogate_03,6603,14.700804946526196,chirp_reversal_control,negative_control,event_window_chirp_reversal,0.5911808098737475,0.6723396940410189,0.433826571393798,0.6104368794526644,0.23809523809523808,-126.24816310048129,0.8576357363357968,0.806244217438693,1.0,0.0,0.9733592860147794,135.0486159745178
surrogate_03,6603,14.700804946526196,envelope_locked_phase_control,negative_control,event_envelope_preserved_phase_scramble,0.5816407634057899,0.7457891489868628,0.350688678501066,0.5503293928534377,0.47619047619047616,29.600816639118648,0.383763734968378,0.3143224221171843,1.0,0.0,0.9328959378645187,91.65181668734868
surrogate_03,6603,14.700804946526196,multi_event_timing_randomization_control,negative_control,multi_event_timing_randomization,0.3077031391266313,0.25520320468427277,0.1964776062067989,0.5999658061923663,0.42857142857142855,-84.8053227603167,0.39729636427731696,0.0,1.0,0.0,0.9292378361271021,135.15029142160316
surrogate_03,6603,14.700804946526196,micro_chunk_scramble_control,negative_control,event_window_micro_chunk_scramble,0.5915814797452098,0.7501717293856455,0.35240810296110897,0.5774849380419093,0.42857142857142855,19.938233530673074,0.480560690545054,0.31718904671125947,1.0,0.0693890828157302,0.9312891455626919,93.85721311358918
surrogate_04,6604,10.779551811855317,strain_proxy_target,target,none,0.8862851523664095,0.9510706548146733,0.8246466596759743,0.8938876439976073,0.6666666666666666,83.22321011233385,0.7561318013430519,0.571415597235233,1.0,0.8074203922673991,0.966217601710843,130.30684526369396
surrogate_04,6604,10.779551811855317,time_shuffle_control,negative_control,global_time_shuffle,0.3480339556167054,0.2840365180991733,0.31590609652751905,0.5762679238216171,0.5714285714285714,6.95717345179952,0.353070425819081,0.5012518742329919,1.0,0.0,0.9067533565533709,119.3905740475847
surrogate_04,6604,10.779551811855317,phase_scramble_control,negative_control,fft_phase_scramble,0.32764736903025055,0.24338609390518623,0.28478575845263915,0.569068458657179,0.47619047619047616,-29.423508660074333,0.437292791738658,0.3660712483656152,1.0,0.0,0.9398454808824321,106.3519955724237
surrogate_04,6604,10.779551811855317,amplitude_preserving_surrogate_control,negative_control,iaaft_amplitude_spectrum_surrogate,0.3098092566354886,0.19486397851258766,0.2936917322741067,0.5757332750332472,0.5238095238095238,-37.89727285698038,0.4528932505334647,0.25590073282993875,1.0,0.0,0.9294599860969319,114.23747859637473
surrogate_04,6604,10.779551811855317,sliding_window_scramble_control,negative_control,event_window_sliding_scramble,0.6879680001288462,0.8190121232227283,0.522926897391257,0.8102325497470938,0.6190476190476191,45.4096856940001,0.48996622714516397,0.41628878147861437,1.0,0.650820464095628,0.951220713794314,109.91584867286122
surrogate_04,6604,10.779551811855317,partial_overlap_scramble_control,negative_control,partial_event_overlap_scramble,0.5936408437057237,0.6756110433281955,0.4746658988265313,0.6011322524701541,0.5714285714285714,-92.05023556783974,0.7239163062873893,0.42290328229506824,1.0,0.0,0.9579155289222743,130.22800809425163
