left_observation_id,right_observation_id,left_kind,right_kind,left_control_group,right_control_group,left_signature_id,right_signature_id,scalar_distance,scalar_enabled,disabled_components,warnings
obs_590502ed80ee4f9526a00243,obs_c740a30388dc20122927f42a,derived_control,derived_control,shuffled_structure_control,seed_repeat_control,bsig_bb01a7c1d0ca9b191d52310d,bsig_53d374d66c9dffe0861a6d49,0.27980357182271354,True,,
obs_590502ed80ee4f9526a00243,obs_04fbf535deaa3a11fe4345ca,derived_control,derived_control,shuffled_structure_control,seed_repeat_control,bsig_bb01a7c1d0ca9b191d52310d,bsig_53d374d66c9dffe0861a6d49,0.16702741702741702,True,,
obs_590502ed80ee4f9526a00243,obs_d36d9fb3b1f089bbbf821e5c,derived_control,derived_control,shuffled_structure_control,parameter_matched_null_control,bsig_bb01a7c1d0ca9b191d52310d,bsig_f61a89a0172a79f5d96cd71c,0.621938744013002,True,,
obs_590502ed80ee4f9526a00243,obs_93659ee4b3b5fdadf510315f,derived_control,derived_control,shuffled_structure_control,parameter_matched_null_control,bsig_bb01a7c1d0ca9b191d52310d,bsig_f61a89a0172a79f5d96cd71c,0.6073569809744532,True,,
obs_590502ed80ee4f9526a00243,obs_5a7521167226bbafcd5c6ba8,derived_control,derived_control,shuffled_structure_control,parameter_matched_null_control,bsig_bb01a7c1d0ca9b191d52310d,bsig_f61a89a0172a79f5d96cd71c,0.6554808119821973,True,,
obs_590502ed80ee4f9526a00243,obs_9b1c5f0213d9d0fc1a3fff27,derived_control,derived_control,shuffled_structure_control,parameter_matched_null_control,bsig_bb01a7c1d0ca9b191d52310d,bsig_f61a89a0172a79f5d96cd71c,0.6410880200320839,True,,
obs_590502ed80ee4f9526a00243,obs_062eb3c1dd90468a63227d7f,derived_control,derived_control,shuffled_structure_control,parameter_matched_null_control,bsig_bb01a7c1d0ca9b191d52310d,bsig_f61a89a0172a79f5d96cd71c,0.6200151827050241,True,,
obs_590502ed80ee4f9526a00243,obs_e93f92e26db8b9c29005cc9e,derived_control,derived_control,shuffled_structure_control,parameter_matched_null_control,bsig_bb01a7c1d0ca9b191d52310d,bsig_f61a89a0172a79f5d96cd71c,0.6057168692129606,True,,
obs_cd8cd88cb9618af0705bbf06,obs_c21d789f14a613fc6b0083e2,derived_control,target,randomized_edge_control,target,bsig_3b1c1a5f56bb03b20611587b,bsig_53d374d66c9dffe0861a6d49,0.17182539682539683,True,,
obs_cd8cd88cb9618af0705bbf06,obs_afd8912a0e32fb71b5407b81,derived_control,frozen_control,randomized_edge_control,periodic_diagonal_augmented_control,bsig_3b1c1a5f56bb03b20611587b,bsig_c70af5951ff4d9712678a20b,0.3206511195136675,True,,
obs_cd8cd88cb9618af0705bbf06,obs_ed1f0ceddbbf708b259ea1a6,derived_control,target,randomized_edge_control,target,bsig_3b1c1a5f56bb03b20611587b,bsig_53d374d66c9dffe0861a6d49,0.33316093019838355,True,,
obs_cd8cd88cb9618af0705bbf06,obs_46ade388243f3a4581ba4489,derived_control,frozen_control,randomized_edge_control,periodic_diagonal_augmented_control,bsig_3b1c1a5f56bb03b20611587b,bsig_c70af5951ff4d9712678a20b,0.3619480977259164,True,,
obs_cd8cd88cb9618af0705bbf06,obs_8de73c59341ac382087fba03,derived_control,target,randomized_edge_control,target,bsig_3b1c1a5f56bb03b20611587b,bsig_53d374d66c9dffe0861a6d49,0.2885850986414564,True,,
obs_cd8cd88cb9618af0705bbf06,obs_4b958084812d6435763f9a05,derived_control,frozen_control,randomized_edge_control,periodic_diagonal_augmented_control,bsig_3b1c1a5f56bb03b20611587b,bsig_1364358a857deba241e04538,0.3937107395309348,True,,
obs_cd8cd88cb9618af0705bbf06,obs_ea0aca853f3046642f451b7d,derived_control,target,randomized_edge_control,target,bsig_3b1c1a5f56bb03b20611587b,bsig_53d374d66c9dffe0861a6d49,0.38106877741033884,True,,
obs_cd8cd88cb9618af0705bbf06,obs_1163ec91dc845e4ed94d462a,derived_control,frozen_control,randomized_edge_control,periodic_diagonal_augmented_control,bsig_3b1c1a5f56bb03b20611587b,bsig_1364358a857deba241e04538,0.40348507855123705,True,,
obs_cd8cd88cb9618af0705bbf06,obs_d6eeaa59b08b0f1c4897f8db,derived_control,target,randomized_edge_control,target,bsig_3b1c1a5f56bb03b20611587b,bsig_53d374d66c9dffe0861a6d49,0.3001281685267547,True,,
obs_cd8cd88cb9618af0705bbf06,obs_86701919f4db014d1d236f54,derived_control,frozen_control,randomized_edge_control,periodic_diagonal_augmented_control,bsig_3b1c1a5f56bb03b20611587b,bsig_53d374d66c9dffe0861a6d49,0.30227546865513294,True,,
obs_cd8cd88cb9618af0705bbf06,obs_8c347ec96417e5677cdb8ad0,derived_control,target,randomized_edge_control,target,bsig_3b1c1a5f56bb03b20611587b,bsig_53d374d66c9dffe0861a6d49,0.3518782646886503,True,,
obs_cd8cd88cb9618af0705bbf06,obs_624a249c44d428f10aa73463,derived_control,frozen_control,randomized_edge_control,periodic_diagonal_augmented_control,bsig_3b1c1a5f56bb03b20611587b,bsig_53d374d66c9dffe0861a6d49,0.38159728740657667,True,,
obs_cd8cd88cb9618af0705bbf06,obs_e43b79a2ef68469ae989ae1e,derived_control,derived_control,randomized_edge_control,shuffled_structure_control,bsig_3b1c1a5f56bb03b20611587b,bsig_bb01a7c1d0ca9b191d52310d,0.18885281385281383,True,,
obs_cd8cd88cb9618af0705bbf06,obs_c887eb3bf0ab4011d4084e3a,derived_control,derived_control,randomized_edge_control,shuffled_structure_control,bsig_3b1c1a5f56bb03b20611587b,bsig_bb01a7c1d0ca9b191d52310d,0.3490339460713994,True,,
obs_cd8cd88cb9618af0705bbf06,obs_57e35110e54898bdbe032c98,derived_control,derived_control,randomized_edge_control,shuffled_structure_control,bsig_3b1c1a5f56bb03b20611587b,bsig_bb01a7c1d0ca9b191d52310d,0.2925533526097103,True,,
obs_cd8cd88cb9618af0705bbf06,obs_2d439625692f7d83d54dd8c5,derived_control,derived_control,randomized_edge_control,shuffled_structure_control,bsig_3b1c1a5f56bb03b20611587b,bsig_bb01a7c1d0ca9b191d52310d,0.3969417932833547,True,,
obs_cd8cd88cb9618af0705bbf06,obs_ee93d740f305035b42ac22c5,derived_control,derived_control,randomized_edge_control,shuffled_structure_control,bsig_3b1c1a5f56bb03b20611587b,bsig_bb01a7c1d0ca9b191d52310d,0.3171555855541718,True,,
obs_cd8cd88cb9618af0705bbf06,obs_590502ed80ee4f9526a00243,derived_control,derived_control,randomized_edge_control,shuffled_structure_control,bsig_3b1c1a5f56bb03b20611587b,bsig_bb01a7c1d0ca9b191d52310d,0.36775128056166617,True,,
obs_cd8cd88cb9618af0705bbf06,obs_cd8cd88cb9618af0705bbf06,derived_control,derived_control,randomized_edge_control,randomized_edge_control,bsig_3b1c1a5f56bb03b20611587b,bsig_3b1c1a5f56bb03b20611587b,0.0,True,,
obs_cd8cd88cb9618af0705bbf06,obs_448f4e11eb5a27dd4f60b644,derived_control,derived_control,randomized_edge_control,randomized_edge_control,bsig_3b1c1a5f56bb03b20611587b,bsig_3b1c1a5f56bb03b20611587b,0.1601811322185856,True,,
obs_cd8cd88cb9618af0705bbf06,obs_fa7bd1db2d6a1d5f66733a16,derived_control,derived_control,randomized_edge_control,randomized_edge_control,bsig_3b1c1a5f56bb03b20611587b,bsig_3b1c1a5f56bb03b20611587b,0.10370053875689647,True,,
obs_cd8cd88cb9618af0705bbf06,obs_3f3cbf5fee77e89478120a3b,derived_control,derived_control,randomized_edge_control,randomized_edge_control,bsig_3b1c1a5f56bb03b20611587b,bsig_3b1c1a5f56bb03b20611587b,0.2080889794305409,True,,
