hierarchy_label,level_id,n_side,h,ensemble_size,seed,probe_name,distance_band,mean_latency,latency_std,front_distance,front_ordering_valid,chain_signature
frozen_branch,n60,60,0.016666666667,5,1301,density_pulse,near,2.1,2.1,2.1,False,dispersion_half>front_far>low_k_half>radius_half>spectral_half>width_half>front_near
frozen_branch,n60,60,0.016666666667,5,1301,density_pulse,far,0.0,0.0,2.1,False,dispersion_half>front_far>low_k_half>radius_half>spectral_half>width_half>front_near
frozen_branch,n60,60,0.016666666667,5,1301,candidate_removal,near,1.8,1.8,1.8,False,dispersion_half>front_far>low_k_half>radius_half>spectral_half>width_half>front_near
frozen_branch,n60,60,0.016666666667,5,1301,candidate_removal,far,0.0,0.0,1.8,False,dispersion_half>front_far>low_k_half>radius_half>spectral_half>width_half>front_near
frozen_branch,n60,60,0.016666666667,5,1301,bias_onset,near,1.8,0.2,0.2,False,low_k_half>dispersion_half>spectral_half>front_far>radius_half>front_near>width_half
frozen_branch,n60,60,0.016666666667,5,1301,bias_onset,far,1.6,0.0,0.2,False,low_k_half>dispersion_half>spectral_half>front_far>radius_half>front_near>width_half
frozen_branch,n60,60,0.016666666667,5,1302,density_pulse,near,2.1,2.1,2.1,False,dispersion_half>front_far>low_k_half>radius_half>spectral_half>width_half>front_near
frozen_branch,n60,60,0.016666666667,5,1302,density_pulse,far,0.0,0.0,2.1,False,dispersion_half>front_far>low_k_half>radius_half>spectral_half>width_half>front_near
frozen_branch,n60,60,0.016666666667,5,1302,candidate_removal,near,2.1,2.1,2.1,False,dispersion_half>front_far>low_k_half>radius_half>spectral_half>width_half>front_near
frozen_branch,n60,60,0.016666666667,5,1302,candidate_removal,far,0.0,0.0,2.1,False,dispersion_half>front_far>low_k_half>radius_half>spectral_half>width_half>front_near
frozen_branch,n60,60,0.016666666667,5,1302,bias_onset,near,2.3,0.7,0.6,True,low_k_half>spectral_half>dispersion_half>radius_half>front_near>front_far>width_half
frozen_branch,n60,60,0.016666666667,5,1302,bias_onset,far,2.9,1.3,0.6,True,low_k_half>spectral_half>dispersion_half>radius_half>front_near>front_far>width_half
frozen_branch,n60,60,0.016666666667,5,1303,density_pulse,near,0.0,0.0,0.0,True,dispersion_half>front_far>front_near>low_k_half>radius_half>spectral_half>width_half
frozen_branch,n60,60,0.016666666667,5,1303,density_pulse,far,0.0,0.0,0.0,True,dispersion_half>front_far>front_near>low_k_half>radius_half>spectral_half>width_half
frozen_branch,n60,60,0.016666666667,5,1303,candidate_removal,near,0.0,0.0,0.0,True,dispersion_half>front_far>front_near>low_k_half>radius_half>spectral_half>width_half
frozen_branch,n60,60,0.016666666667,5,1303,candidate_removal,far,0.0,0.0,0.0,True,dispersion_half>front_far>front_near>low_k_half>radius_half>spectral_half>width_half
frozen_branch,n60,60,0.016666666667,5,1303,bias_onset,near,2.4,1.2,0.3,False,dispersion_half>low_k_half>radius_half>spectral_half>width_half>front_far>front_near
