hierarchy_label,level_id,n_side,tau,family_label,localization_width,spatial_concentration,participation_ratio,spectral_energy_mean,spectral_energy_spread,width_growth,concentration_ratio,participation_growth
periodic_diagonal_augmented_control,n48,48,0.8,low_mode_localized_wavepacket,0.086865504156,0.018337789714,109.148879784829,0.137572330455,0.129839433047,0.08581880195,0.849492031965,0.178085920593
periodic_diagonal_augmented_control,n48,48,0.0,mid_spectrum_localized_superposition,0.055,0.045671184312,43.791288316919,0.902742475313,0.56020534266,0.0,1.0,0.0
periodic_diagonal_augmented_control,n48,48,0.1,mid_spectrum_localized_superposition,0.056096925126,0.043943880006,45.533715517684,0.84285328248,0.534335802196,0.0199440932,0.962179559562,0.039789356919
periodic_diagonal_augmented_control,n48,48,0.2,mid_spectrum_localized_superposition,0.057201394922,0.042300661557,47.323013712344,0.788360042111,0.509750945587,0.040025362218,0.926200233128,0.080649040738
periodic_diagonal_augmented_control,n48,48,0.4,mid_spectrum_localized_superposition,0.059417159476,0.039264982984,51.020134456306,0.693543443678,0.464506011083,0.080311990473,0.859732095313,0.165074982199
periodic_diagonal_augmented_control,n48,48,0.8,mid_spectrum_localized_superposition,0.063802543304,0.034125372218,58.766089512488,0.548573429564,0.388886361281,0.160046241891,0.747197006867,0.341958452722
periodic_diagonal_augmented_control,n48,48,0.0,random_localized_seed,0.04894394078,0.140754345343,13.551369376813,1.540415235107,0.903490656127,0.0,1.0,0.0
periodic_diagonal_augmented_control,n48,48,0.1,random_localized_seed,0.050005559453,0.134783844254,14.756635943284,1.386296718374,0.851682416299,0.021690502564,0.957582118872,0.088940573676
periodic_diagonal_augmented_control,n48,48,0.2,random_localized_seed,0.051137349613,0.128101174408,16.103843391362,1.249965586677,0.799343312927,0.044814716552,0.910104580401,0.188355430627
periodic_diagonal_augmented_control,n48,48,0.4,random_localized_seed,0.053542928302,0.113945282116,19.162094782217,1.025600796822,0.698824466034,0.093964389641,0.809532962114,0.414033832994
periodic_diagonal_augmented_control,n48,48,0.8,random_localized_seed,0.058577196994,0.0879622692,26.252623625566,0.724545689866,0.533166149861,0.196822243172,0.624934661773,0.937267215997
