hierarchy_label,level_id,n_side,h,ensemble_size,seed,tau,low_mode_occupancy,single_mode_baseline_occupancy,low_mode_occupancy_ratio_vs_single,spectral_distortion_vs_single
frozen_branch,n60,60,0.016666666667,5,1301,3.0,0.499009174962,0.406087673521,1.228821280477,0.228821280477
frozen_branch,n60,60,0.016666666667,5,1301,3.6,0.50478827716,0.421472776735,1.197677062493,0.197677062493
frozen_branch,n60,60,0.016666666667,5,1301,4.2,0.509765641868,0.43625637015,1.168500168129,0.168500168129
frozen_branch,n60,60,0.016666666667,5,1302,0.0,0.210635619788,0.320037906897,0.658158347021,-0.341841652979
frozen_branch,n60,60,0.016666666667,5,1302,0.4,0.217771276071,0.332383834554,0.655180106346,-0.344819893654
frozen_branch,n60,60,0.016666666667,5,1302,0.8,0.224615540907,0.344465222359,0.65207030007,-0.34792969993
frozen_branch,n60,60,0.016666666667,5,1302,1.2,0.231161070395,0.356278791513,0.648820743478,-0.351179256522
frozen_branch,n60,60,0.016666666667,5,1302,1.6,0.23740242839,0.367822360187,0.645426852977,-0.354573147023
frozen_branch,n60,60,0.016666666667,5,1302,2.0,0.243336039267,0.379094687829,0.641887230498,-0.358112769502
frozen_branch,n60,60,0.016666666667,5,1302,2.4,0.248960107804,0.39009534205,0.638203231281,-0.361796768719
frozen_branch,n60,60,0.016666666667,5,1302,3.0,0.256815980903,0.406087673521,0.632415110452,-0.367584889548
frozen_branch,n60,60,0.016666666667,5,1302,3.6,0.263981450041,0.421472776735,0.626330962788,-0.373669037212
frozen_branch,n60,60,0.016666666667,5,1302,4.2,0.270469247374,0.43625637015,0.61997776051,-0.38002223949
frozen_branch,n60,60,0.016666666667,5,1303,0.0,0.180388246969,0.320037906897,0.563646502748,-0.436353497252
frozen_branch,n60,60,0.016666666667,5,1303,0.4,0.187429466839,0.332383834554,0.563894652369,-0.436105347631
frozen_branch,n60,60,0.016666666667,5,1303,0.8,0.194228956265,0.344465222359,0.563856504686,-0.436143495314
frozen_branch,n60,60,0.016666666667,5,1303,1.2,0.200777187372,0.356278791513,0.563539543062,-0.436460456938
frozen_branch,n60,60,0.016666666667,5,1303,1.6,0.207066780705,0.367822360187,0.562953216328,-0.437046783672
frozen_branch,n60,60,0.016666666667,5,1303,2.0,0.213092365706,0.379094687829,0.562108551103,-0.437891448897
frozen_branch,n60,60,0.016666666667,5,1303,2.4,0.218850431622,0.39009534205,0.561017802653,-0.438982197347
frozen_branch,n60,60,0.016666666667,5,1303,3.0,0.226982407591,0.406087673521,0.558949267343,-0.441050732657
frozen_branch,n60,60,0.016666666667,5,1303,3.6,0.234509018937,0.421472776735,0.556403715451,-0.443596284549
frozen_branch,n60,60,0.016666666667,5,1303,4.2,0.241437143755,0.43625637015,0.553429497596,-0.446570502404
frozen_branch,n60,60,0.016666666667,7,1301,0.0,0.262709063426,0.320037906897,0.820868583889,-0.179131416111
frozen_branch,n60,60,0.016666666667,7,1301,0.4,0.267429231219,0.332383834554,0.804579535518,-0.195420464482
frozen_branch,n60,60,0.016666666667,7,1301,0.8,0.271708946789,0.344465222359,0.788784844313,-0.211215155687
frozen_branch,n60,60,0.016666666667,7,1301,1.2,0.275581487453,0.356278791513,0.773499557138,-0.226500442862
frozen_branch,n60,60,0.016666666667,7,1301,1.6,0.279077577093,0.367822360187,0.75872923264,-0.24127076736
frozen_branch,n60,60,0.016666666667,7,1301,2.0,0.282225393235,0.379094687829,0.744472033758,-0.255527966242
frozen_branch,n60,60,0.016666666667,7,1301,2.4,0.28505065432,0.39009534205,0.730720476748,-0.269279523252
frozen_branch,n60,60,0.016666666667,7,1301,3.0,0.288734341825,0.406087673521,0.711014789791,-0.288985210209
frozen_branch,n60,60,0.016666666667,7,1301,3.6,0.291814478596,0.421472776735,0.692368510386,-0.307631489614
frozen_branch,n60,60,0.016666666667,7,1301,4.2,0.294351576949,0.43625637015,0.674721556151,-0.325278443849
frozen_branch,n60,60,0.016666666667,7,1302,0.0,0.263653418157,0.320037906897,0.823819342882,-0.176180657118
frozen_branch,n60,60,0.016666666667,7,1302,0.4,0.26953430293,0.332383834554,0.810912790907,-0.189087209093
frozen_branch,n60,60,0.016666666667,7,1302,0.8,0.274922878089,0.344465222359,0.798115049775,-0.201884950225
frozen_branch,n60,60,0.016666666667,7,1302,1.2,0.279839456182,0.356278791513,0.785450784186,-0.214549215814
frozen_branch,n60,60,0.016666666667,7,1302,1.6,0.284304882805,0.367822360187,0.772940727855,-0.227059272145
frozen_branch,n60,60,0.016666666667,7,1302,2.0,0.288340244796,0.379094687829,0.760602176852,-0.239397823148
frozen_branch,n60,60,0.016666666667,7,1302,2.4,0.291966625882,0.39009534205,0.748449403029,-0.251550596971
frozen_branch,n60,60,0.016666666667,7,1302,3.0,0.29668493341,0.406087673521,0.730593299812,-0.269406700188
frozen_branch,n60,60,0.016666666667,7,1302,3.6,0.300598695487,0.421472776735,0.713210228703,-0.286789771297
frozen_branch,n60,60,0.016666666667,7,1302,4.2,0.303773910472,0.43625637015,0.696319713034,-0.303680286966
frozen_branch,n60,60,0.016666666667,7,1303,0.0,0.106719176527,0.320037906897,0.333457925537,-0.666542074463
frozen_branch,n60,60,0.016666666667,7,1303,0.4,0.110120394563,0.332383834554,0.331304904495,-0.668695095505
frozen_branch,n60,60,0.016666666667,7,1303,0.8,0.113377683564,0.344465222359,0.329141162025,-0.670858837975
frozen_branch,n60,60,0.016666666667,7,1303,1.2,0.116492532992,0.356278791513,0.32697015867,-0.67302984133
frozen_branch,n60,60,0.016666666667,7,1303,1.6,0.119466784569,0.367822360187,0.324794785471,-0.675205214529
frozen_branch,n60,60,0.016666666667,7,1303,2.0,0.122302557723,0.379094687829,0.322617440048,-0.677382559952
frozen_branch,n60,60,0.016666666667,7,1303,2.4,0.125002189823,0.39009534205,0.32044009848,-0.67955990152
frozen_branch,n60,60,0.016666666667,7,1303,3.0,0.128801895809,0.406087673521,0.317177556,-0.682822444
frozen_branch,n60,60,0.016666666667,7,1303,3.6,0.132309945905,0.421472776735,0.313922875234,-0.686077124766
frozen_branch,n60,60,0.016666666667,7,1303,4.2,0.135535785424,0.43625637015,0.310679212266,-0.689320787734
frozen_branch,n72,72,0.013888888889,3,1301,0.0,0.450124743239,0.32003790691,1.40647321308,0.40647321308
frozen_branch,n72,72,0.013888888889,3,1301,0.4,0.459401173595,0.328666055431,1.397774932957,0.397774932957
frozen_branch,n72,72,0.013888888889,3,1301,0.8,0.468213697391,0.337165447501,1.388676392736,0.388676392736
frozen_branch,n72,72,0.013888888889,3,1301,1.2,0.476577708656,0.345534912009,1.379246183504,0.379246183504
frozen_branch,n72,72,0.013888888889,3,1301,1.6,0.484509640694,0.353773549678,1.369547387403,0.369547387403
